text,is_true
"Due to its failing counter-offensive, the Ukrainian Army has been forced to resort to terrorist attacks against civilians on Russian territory. Unlike Ukraine, Russia only targets military facilities in Ukraine. ",False
NATO is turning Ukraine into a bridgehead against Russia.,False
"The destabilisation of the entire space of the Eurasian Economic Union (EAEU) is the top task for the West. They do not even hide their interest in acquiring the raw materials and production resources of the Central Asian region exclusively to their own foreign economic interests.Earlier, the head of the European Council, Charles Michel, said that the EU wants to engage in dialogue with the Central Asian states on the issue of compliance with anti-Russian sanctions, but intends to take action against those who help circumvent them.",False
"Warsaw is actively and persistently preparing for the annexation of the Lviv, Ivano-Frankivsk and Ternopil regions of Ukraine. Poland is in a hurry so that the cowardly senior partners in NATO do not have time to start a peace dialogue with Moscow.",False
"With China, any nuance is valid to use exaggerated qualifiers and pompous terms. China is the new enemy and, therefore, to speak of genocide is legitimate. And the excuse, in this case, is the Uyghurs.In 'China against the Uyghurs' narrative, there is a forgotten actor: the Turkestan Islamic Party (TIP). The Uyghurs, far from being an unprotected ethnic group organised only in peaceful groups, have the TIP, a tremendously extremist jihadist group, responsible for terrorist attacks and affiliated with al-Qaeda. Chinese behaviour is not different from that of other countries who pride themselves as democratic such as, for example, Spain, which, being already a democracy [after Franco���s dictatorship] and facing a similar problem, acted in a much dirtier way, arming and giving a free hand to the paramilitary group GAL, which was essentially state terrorism. But nobody has exaggerated as much as to talk of a 'Basque genocide'. The genocide narrative, in the absence of solid arguments beyond an emotional spithout any backing, is always accompanied by mentions of the well-known re-education, de-radicalisation fields or training centres. Such secret centres, according to some researchers, that China does not even try to hide them. However, although re-education and work centres are not alien to any socialist system like China, we must stop seeing the straw in someone else's eye having a beam in our own, because in Europe there are also re-education and de-radicalisation programmes for jihadists. For more drama, Washington spoke first of a few, then thousands and then millions of Uyghurs in concentration camps. The figure is undoubtedly too large for only radicals or members and supporters of the Turkestan Islamic Party to be repressed, but of course, where does the figure come from? How today, with high-resolution satellite images, can such large concentration camps be hidden? Logic leads to thinking that such a bombast is nothing more than propaganda. Because like propaganda, it is information without any backing.",False
"The Ukrainian counter-offensive shows the failure of the US military strategy. As it has become a bloody catastrophe, US politicians that planned to weaken Russia with this conflict must now seek peace and negotiations.",False
"Russian forces targeted an officers��� club in Vinnytsia, where Ukrainian nationalists were temporarily depl",False
Crimea itself decided its fate.,False
"Poland and Latvia may introduce their troops into western Ukraine in order to overtake some of the Ukrainian territories. The Poles make no secret of the fact that they consider most of western Ukraine as their former territory. At the present moment, Ukraine stands on the verge of total collapse ��� it has no chance to win against the Russian troops. Warsaw and Vilnius can take advantage of this situation, introducing their troops to Ukraine. They will present this step as an attempt to save what is left of Uk",False
Ukraine Begins Hunt For Separatists,False
A Russian Army missile strike destroyed a temporary base of pro-Ukrainian foreign mercenaries in the Zaporizhia region.  ,False
"This is a prime example of how the United States is deliberately turning the situation on its head.The goal is clear: to distort the truth about that tragedy and put the blame on Russia. However, the facts confirm that the full responsibility for those events lies with the former President of Georgia, Saakashvili. It was on his criminal order that a full-scale war was unleashed against the South Ossetian people.After all, it was the West who brought to power, and then jealously supported the odious regime of Saakashvili.",False
Ukrainian Armed Forces bombed the meeting place of the International Atomic Energy Agency (IAEA) mission and the Zaporizhzhia nuclear power plant ,False
"The Russian Federation has nothing to do with the strikes on the historic centre of Odesa, since the Russian army only attacks military facilities in Ukraine.",False
The Grain Deal is a fig leaf with which the West tried to disguise the supply of weapons to the Ukrainian armed forces.,False
,False
